Date,Close/Last,Volume,Open,High,Low
10/17/2025,$68.44,15541770,$68.00,$68.495,$67.80
10/16/2025,$67.59,15707230,$67.175,$68.105,$67.16
10/15/2025,$67.08,11193720,$67.265,$67.72,$66.92
10/14/2025,$67.51,14245560,$66.87,$67.57,$66.745
10/13/2025,$66.80,13690030,$66.23,$66.80,$66.00
10/10/2025,$67.04,17991740,$66.52,$67.395,$66.375
10/09/2025,$66.37,12705190,$66.29,$66.80,$66.12
10/08/2025,$66.12,12606680,$66.665,$66.87,$66.06
10/07/2025,$66.79,13328270,$66.225,$67.26,$65.87
10/06/2025,$66.10,14333320,$66.49,$66.50,$65.84
10/03/2025,$66.65,12249240,$66.10,$66.985,$66.04
10/02/2025,$66.10,14350720,$66.525,$66.65,$65.86
10/01/2025,$66.78,14877540,$66.505,$66.83,$66.29
09/30/2025,$66.32,13814990,$66.07,$66.64,$65.9601
09/29/2025,$66.04,14818530,$65.67,$66.10,$65.3538
09/26/2025,$65.67,17821570,$66.07,$66.335,$65.50
09/25/2025,$65.98,14395010,$66.75,$66.92,$65.95
09/24/2025,$66.45,14759290,$66.405,$66.78,$65.96
09/23/2025,$66.71,15072790,$66.35,$66.76,$65.90
09/22/2025,$66.21,13298740,$66.16,$66.59,$66.08
09/19/2025,$66.43,31192850,$66.49,$66.73,$66.045
09/18/2025,$66.46,17722920,$66.80,$67.035,$66.35
09/17/2025,$67.04,17372330,$66.405,$67.13,$66.405
09/16/2025,$66.24,18555910,$66.35,$66.51,$66.055
09/15/2025,$66.21,15986130,$66.68,$66.78,$66.10
09/12/2025,$67.01,18712350,$67.60,$67.715,$66.935
09/11/2025,$67.62,15128730,$67.92,$68.165,$67.58
09/10/2025,$67.82,16041930,$67.79,$68.0854,$67.21
09/09/2025,$67.86,14120570,$67.28,$68.105,$67.28
09/08/2025,$67.43,21671750,$67.855,$67.88,$67.16
09/05/2025,$67.96,23978000,$68.01,$68.58,$67.87
09/04/2025,$68.25,16736010,$69.11,$69.46,$68.115
09/03/2025,$68.99,33581490,$68.66,$69.095,$67.37
09/02/2025,$69.06,24770070,$68.96,$69.34,$68.255
08/29/2025,$68.99,14601090,$68.67,$69.14,$68.425
08/28/2025,$68.36,16209870,$68.88,$68.90,$68.28
08/27/2025,$68.83,11562740,$68.82,$68.87,$68.465
08/26/2025,$68.73,17964230,$69.04,$69.08,$68.575
08/25/2025,$68.93,13634560,$70.11,$70.23,$68.715
08/22/2025,$70.13,12999610,$70.96,$71.02,$69.92
08/21/2025,$70.66,8840427,$70.60,$70.905,$70.33
08/20/2025,$70.70,17530850,$70.74,$71.705,$70.405
08/19/2025,$70.13,13862210,$69.30,$70.22,$69.24
08/18/2025,$69.13,14094880,$69.98,$70.05,$69.05
08/15/2025,$69.92,12381110,$69.74,$70.385,$69.57
08/14/2025,$69.55,10722370,$70.38,$70.46,$69.39
08/13/2025,$70.46,10356520,$70.69,$70.77,$70.23
08/12/2025,$70.71,11065040,$70.815,$71.06,$70.22
08/11/2025,$70.75,10909370,$70.30,$70.86,$69.96
08/08/2025,$70.34,9232651,$70.365,$70.871,$70.08
08/07/2025,$70.43,15790800,$69.46,$70.715,$69.33
08/06/2025,$69.51,10782980,$69.12,$69.80,$68.63
08/05/2025,$69.05,11993390,$68.90,$69.485,$68.75
08/04/2025,$68.96,10701530,$68.715,$69.085,$68.31
08/01/2025,$68.86,16107510,$68.595,$69.04,$68.27
07/31/2025,$67.89,17193420,$68.15,$68.65,$67.74
07/30/2025,$68.75,10448180,$69.11,$69.33,$68.525
07/29/2025,$69.38,16223380,$68.34,$69.42,$68.15
07/28/2025,$68.09,13668800,$68.74,$68.90,$68.06
07/25/2025,$69.17,12574820,$69.13,$69.23,$68.75
07/24/2025,$69.10,12511370,$69.255,$69.55,$68.99
07/23/2025,$69.16,21029990,$69.66,$69.74,$68.60
07/22/2025,$69.66,22339880,$69.45,$70.2592,$68.69
07/21/2025,$70.07,17811720,$70.195,$70.62,$69.93
07/18/2025,$69.85,14927950,$70.445,$70.70,$69.835
07/17/2025,$70.59,20464660,$69.81,$70.685,$69.51
07/16/2025,$69.27,13178290,$69.35,$69.50,$68.79
07/15/2025,$69.36,12639810,$69.51,$69.55,$69.15
07/14/2025,$69.47,13983250,$69.80,$70.08,$69.2719
07/11/2025,$69.87,12916670,$69.565,$70.155,$69.25
07/10/2025,$69.77,14615050,$69.29,$69.845,$69.16
07/09/2025,$69.48,33704120,$70.16,$70.25,$68.97
07/08/2025,$70.24,17115520,$70.68,$70.68,$69.88
07/07/2025,$71.01,16984680,$71.37,$71.37,$70.80
07/03/2025,$71.35,9440457,$71.04,$71.395,$70.45
07/02/2025,$70.91,13050240,$71.69,$71.825,$70.735
07/01/2025,$71.67,21729280,$70.99,$72.45,$70.90
06/30/2025,$70.75,15428970,$70.125,$70.79,$70.09
06/27/2025,$70.33,23470690,$69.59,$70.56,$69.47
06/26/2025,$69.47,14454090,$69.70,$69.92,$69.145
06/25/2025,$69.63,12540370,$69.925,$70.02,$69.43
06/24/2025,$70.21,15216080,$69.945,$70.35,$69.685
06/23/2025,$69.74,21822770,$69.14,$69.81,$68.97
06/20/2025,$68.84,40859430,$69.09,$69.5554,$68.78
06/18/2025,$69.21,16227580,$70.00,$70.00,$69.09
06/17/2025,$69.62,15437030,$70.38,$70.46,$69.58
06/16/2025,$70.52,15045880,$71.20,$71.62,$70.24
06/13/2025,$71.02,17467160,$71.77,$71.88,$70.73
06/12/2025,$72.24,12806910,$72.25,$72.3999,$71.60
06/11/2025,$72.07,12718510,$72.265,$72.36,$71.76
06/10/2025,$72.35,12264970,$71.90,$72.685,$71.76
06/09/2025,$71.77,12281340,$71.35,$71.83,$71.09
06/06/2025,$71.35,9524036,$71.085,$71.48,$70.9448
06/05/2025,$70.91,13535620,$71.38,$71.455,$70.835
06/04/2025,$71.37,13565890,$71.26,$71.845,$70.68
